"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Part NO.","Description"
"C9,C10","2","18pF","","","","Capacitor_SMD:C_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706813400469504","C1797","0805CG180J500NT"
"C21,C31","2","47p","","","","Diode_SMD:D_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706849202913280","C14857","CL21C470JBANNNC"
"C1,C3,C4,C5,C6,C7,C11,C14,C17,C18,C19,C20,C22,C24,C25,C26,C27","17","100n","","","","Capacitor_SMD:C_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8586178643478892544","C28233","CL21B104KCFNNNE"
"C15,C16,C23","3","2.2u","","","","Capacitor_SMD:C_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588932555597369344","C377773","CL21A225KBQNNNE"
"C8","1","4.7u","","","","Capacitor_SMD:C_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8556213325555400704","C1779","CL21A475KAQNNNE"
"C2,C12,C13","3","10u","","","","Capacitor_SMD:C_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706853615591424","C15850","CL21A106KAYNNNE"
"R14,R16","2","100","","","","Resistor_SMD:R_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8562006687177089024","C17408","0805W8F1000T5E"
"R24,R26","2","330","","","","Resistor_SMD:R_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706569889464320","C17630","0805W8F3300T5E"
"R1,R3","2","10k","","","","Resistor_SMD:R_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8562006748401074176","C17414","0805W8F1002T5E"
"R7,R8,R10,R11,R13,R15","6","1M","","","","Resistor_SMD:R_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706502699421696","C17514","0805W8F1004T5E"
"R9,R12,R17,R18,R19,R20,R21,R22,R23,R25","10","10M","","","","Resistor_SMD:R_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706694794076160","C26108","0805W8F1005T5E"
"Y1","1","24MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588880998050779136","C70590","X322524MOB4SI"
"R2,R4,R5,R6","4","5k1","","","","Resistor_SMD:R_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706704597925888","C27834","0805W8F5101T5E"
"FB1","1","600R @ 100MHz","","","","Capacitor_SMD:C_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8565214663974404096","C1017","GZ2012D601TF"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","C2688239","AMS1117-3.3V"
"D1,D5","2","BAT54SLT1G","","","","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf","","BAT54SLT1G"
"J8,J10","2","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588954736053653504","C2932698","KH-2.54PH180-1X2P-L11.5"
"J7","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588954736053653504","C2932698","KH-2.54PH180-1X3P-L11.5"
"J2,J6,J11","3","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588945377441144832","C2905435","KH-2.54PH180-1X4P-L11.5"
"J4,J5,J9","3","Conn_01x05_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588954835601264640","C2932699","KH-2.54PH180-1X5P-L11.5"
"J3","1","Conn_01x09_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588954671779733504","C2932701","KH-2.54PH180-1X9P-L11.5"
"S1","1","KMR221GLFS","","","","02Footprints:SW_KMR221GLFS","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588916370310369280","C72443","KMR221GLFS"
"D2,D3","2","LED","","","","LED_SMD:LED_0805_2012Metric","https://www.lcsc.com/datasheet/C2295.pdf","C2295","KT-0805R"
